ORIGIN,TOTAL_FLIGHTS,TOTAL_CANCELLED,TOTAL_ARRIVED,DELAYED_FLIGHTS_W,ARR_DELAY_MIN_W,CANCEL_RATE,DELAY_RATE,AVG_ARR_DELAY_MIN
CDC,621,5.0,613.0,40.0,3230.0,0.008051529790660225,0.06525285481239804,5.269168026101142
CDV,724,18.0,691.0,106.0,6131.0,0.024861878453038673,0.15340086830680175,8.872648335745296
CHA,5825,45.0,5771.0,885.0,81431.0,0.007725321888412017,0.15335297175532836,14.110379483625021
CHO,2900,74.0,2822.0,420.0,41956.0,0.025517241379310347,0.148830616583983,14.867469879518072
CHS,24619,378.0,24183.0,4231.0,398669.0,0.015353994882001705,0.1749576148534094,16.485506347434146
CID,7057,98.0,6952.0,1169.0,118414.0,0.0138869207878702,0.16815304948216342,17.03308400460299
CIU,725,14.0,710.0,119.0,22362.0,0.019310344827586208,0.1676056338028169,31.495774647887323
CKB,211,1.0,210.0,67.0,6427.0,0.004739336492890996,0.319047619047619,30.604761904761904
CLE,41660,680.0,40906.0,7216.0,626386.0,0.01632261161785886,0.17640443944653597,15.312814746003031
CLL,1085,25.0,1058.0,177.0,19683.0,0.02304147465437788,0.16729678638941398,18.60396975425331
CLT,195100,1781.0,192870.0,42491.0,3298689.0,0.009128651973347002,0.2203090164359413,17.10317312179188
CMH,41382,564.0,40726.0,6266.0,487370.0,0.013629114107583008,0.15385748661788537,11.967048077395276
CMI,1409,25.0,1382.0,174.0,15545.0,0.017743080198722498,0.12590448625180897,11.248191027496382
CMX,705,43.0,662.0,151.0,16054.0,0.06099290780141844,0.2280966767371601,24.250755287009063
CNY,638,11.0,623.0,72.0,9839.0,0.017241379310344827,0.11556982343499198,15.792937399678973
COD,35,2.0,33.0,6.0,1642.0,0.05714285714285714,0.18181818181818182,49.75757575757576
COS,11582,161.0,11393.0,2087.0,175069.0,0.01390088067691245,0.18318265601685246,15.366365312033706
COU,1419,11.0,1403.0,220.0,20657.0,0.007751937984496124,0.15680684248039914,14.723449750534568
CPR,1368,45.0,1320.0,244.0,21558.0,0.03289473684210526,0.18484848484848485,16.331818181818182
CRP,3727,42.0,3679.0,380.0,28293.0,0.011269117252481888,0.1032889372111987,7.690405001359065
CRW,3478,50.0,3422.0,644.0,64788.0,0.01437607820586544,0.18819403857393338,18.93278784336645
CSG,957,6.0,951.0,104.0,11177.0,0.006269592476489028,0.10935856992639327,11.752891692954785
CVG,39702,548.0,39070.0,6709.0,560392.0,0.013802831091632663,0.17171743025339134,14.343281289992321
CWA,985,13.0,972.0,116.0,13482.0,0.013197969543147208,0.11934156378600823,13.87037037037037
CYS,368,13.0,354.0,58.0,10017.0,0.035326086956521736,0.1638418079096045,28.296610169491526
DAB,2825,31.0,2785.0,412.0,38533.0,0.010973451327433627,0.14793536804308796,13.835906642728904
DAL,74757,1124.0,73465.0,14786.0,871643.0,0.015035381302085423,0.20126590893622814,11.864738310760226
DAY,7061,65.0,6978.0,973.0,88691.0,0.009205494972383516,0.13943823445113213,12.710088850673545
DCA,140005,2117.0,137541.0,23719.0,1882915.0,0.015120888539695012,0.17245039660901113,13.68984520979199
DDC,622,24.0,595.0,100.0,17182.0,0.03858520900321544,0.16806722689075632,28.87731092436975
DEC,986,19.0,964.0,170.0,35219.0,0.019269776876267748,0.17634854771784234,36.53423236514523
DEN,288985,4026.0,284200.0,70595.0,4856112.0,0.013931518936969046,0.24839901477832513,17.08695285010556
DFW,285244,4414.0,280021.0,65168.0,5200010.0,0.015474470979231816,0.23272540273765183,18.57007153034951
DHN,729,2.0,726.0,71.0,5227.0,0.0027434842249657062,0.09779614325068871,7.199724517906336
DIK,636,26.0,606.0,90.0,9822.0,0.040880503144654086,0.1485148514851485,16.207920792079207
DLG,145,4.0,141.0,25.0,1220.0,0.027586206896551724,0.1773049645390071,8.652482269503546
DLH,1892,32.0,1858.0,268.0,30453.0,0.016913319238900635,0.1442411194833154,16.390204520990313
DRO,3429,60.0,3361.0,617.0,62043.0,0.017497812773403325,0.1835763165724487,18.45968461767331
DRT,184,6.0,178.0,25.0,1885.0,0.03260869565217391,0.1404494382022472,10.589887640449438
DSM,14614,146.0,14439.0,2651.0,231054.0,0.009990420145066375,0.1835999722972505,16.00207770621234
DTW,126072,1476.0,124348.0,20291.0,1560888.0,0.011707595659623073,0.16317914240679385,12.55257824814231
DVL,674,41.0,629.0,103.0,16061.0,0.06083086053412463,0.16375198728139906,25.534181240063592
ECP,6722,42.0,6666.0,1171.0,89583.0,0.006248140434394526,0.17566756675667566,13.438793879387939
EGE,2994,61.0,2898.0,699.0,66706.0,0.020374081496325986,0.2412008281573499,23.017943409247756
EKO,366,1.0,365.0,26.0,2053.0,0.00273224043715847,0.07123287671232877,5.624657534246575
ELM,992,4.0,985.0,137.0,15824.0,0.004032258064516129,0.13908629441624365,16.06497461928934
ELP,17023,148.0,16829.0,2640.0,209230.0,0.008694119720378311,0.1568720660764157,12.432705448927447
ERI,222,1.0,220.0,41.0,4553.0,0.0045045045045045045,0.18636363636363637,20.695454545454545
ESC,695,12.0,679.0,95.0,11237.0,0.017266187050359712,0.13991163475699558,16.54933726067747
EUG,7443,36.0,7395.0,1230.0,112011.0,0.0048367593712212815,0.1663286004056795,15.14685598377282
EVV,1903,10.0,1886.0,291.0,27184.0,0.005254860746190226,0.15429480381760338,14.413573700954402
EWN,98,0.0,98.0,9.0,1230.0,0.0,0.09183673469387756,12.551020408163266
EWR,138578,3837.0,134398.0,29880.0,2412737.0,0.027688377664564362,0.2223247369752526,17.952179347906963
EYW,6897,70.0,6740.0,1389.0,119280.0,0.010149340292880962,0.20608308605341247,17.6973293768546
FAI,3049,18.0,3031.0,492.0,33847.0,0.005903574942604133,0.16232266578686902,11.16694160343121
FAR,6278,125.0,6146.0,1001.0,90598.0,0.019910799617712648,0.16287015945330297,14.740969736413927
FAT,11164,66.0,11078.0,1747.0,145435.0,0.005911859548548907,0.15769994583859903,13.1282722513089
FAY,1345,17.0,1324.0,171.0,18376.0,0.012639405204460967,0.12915407854984895,13.879154078549849
FCA,3509,22.0,3482.0,593.0,60596.0,0.006269592476489028,0.17030442274554852,17.402642159678347
FLG,1654,51.0,1599.0,183.0,20348.0,0.03083434099153567,0.11444652908067542,12.725453408380238
FLL,89835,1647.0,87933.0,26754.0,2156680.0,0.01833361162130573,0.3042543754904302,24.526400782413884
FNT,2071,16.0,2053.0,471.0,37292.0,0.00772573635924674,0.2294203604481247,18.164637116415
FOD,622,15.0,604.0,87.0,12306.0,0.024115755627009645,0.14403973509933773,20.374172185430464
FSD,6825,108.0,6708.0,1203.0,112539.0,0.015824175824175824,0.17933810375670842,16.776833631484795
FSM,1074,22.0,1050.0,195.0,19291.0,0.020484171322160148,0.18571428571428572,18.37238095238095
FWA,4261,30.0,4225.0,810.0,77735.0,0.0070406007979347575,0.19171597633136095,18.398816568047337
GCC,640,13.0,624.0,84.0,14187.0,0.0203125,0.1346153846153846,22.735576923076923
GCK,725,24.0,700.0,118.0,12197.0,0.03310344827586207,0.16857142857142857,17.424285714285713
GEG,16556,99.0,16435.0,2334.0,190018.0,0.005979705242812274,0.14201399452388197,11.561788865226651
GFK,1286,28.0,1256.0,163.0,19770.0,0.02177293934681182,0.12977707006369427,15.740445859872612
GGG,723,14.0,709.0,114.0,13067.0,0.019363762102351315,0.1607898448519041,18.430183356840622
GJT,3155,45.0,3103.0,536.0,55566.0,0.014263074484944533,0.17273606187560425,17.907186593619077
GNV,2831,22.0,2806.0,419.0,41001.0,0.007771105616389968,0.14932287954383464,14.611903064861012
GPT,2909,27.0,2874.0,341.0,33394.0,0.009281540048126504,0.1186499652052888,11.619345859429366
GRB,3918,41.0,3874.0,513.0,56117.0,0.01046452271567126,0.13242127000516263,14.485544656685596
GRI,937,19.0,915.0,212.0,24894.0,0.020277481323372464,0.23169398907103825,27.20655737704918
GRK,1582,28.0,1553.0,258.0,18541.0,0.017699115044247787,0.16613007083065034,11.93882807469414
GRR,16558,227.0,16297.0,2637.0,234428.0,0.013709385191448242,0.16180892188746396,14.384733386512854
GSO,10924,180.0,10731.0,1479.0,129051.0,0.016477480776272427,0.13782499301090298,12.025999440872239
GSP,13457,160.0,13269.0,1749.0,145804.0,0.011889722820836739,0.1318109880171829,10.988318637425579
GST,75,0.0,75.0,10.0,459.0,0.0,0.13333333333333333,6.12
GTF,2582,15.0,2555.0,325.0,28042.0,0.005809450038729667,0.12720156555772993,10.975342465753425
GTR,803,4.0,799.0,72.0,6930.0,0.0049813200498132005,0.09011264080100125,8.67334167709637
GUC,725,31.0,693.0,129.0,14895.0,0.04275862068965517,0.18614718614718614,21.493506493506494
GUM,757,17.0,740.0,56.0,6172.0,0.022457067371202115,0.07567567567567568,8.340540540540541
HDN,2354,62.0,2289.0,602.0,57196.0,0.026338147833474938,0.26299694189602446,24.987330712101354
HGR,215,2.0,213.0,59.0,4720.0,0.009302325581395349,0.27699530516431925,22.15962441314554
HHH,1802,36.0,1750.0,334.0,28349.0,0.01997780244173141,0.19085714285714286,16.199428571428573
HIB,703,9.0,694.0,62.0,8691.0,0.012802275960170697,0.0893371757925072,12.523054755043228
HLN,1462,11.0,1446.0,143.0,15780.0,0.007523939808481532,0.09889349930843706,10.91286307053942
HNL,61768,620.0,61081.0,11017.0,655058.0,0.010037559901567154,0.1803670535845844,10.724415120905027
HOU,55200,420.0,54673.0,9975.0,592992.0,0.007608695652173913,0.18244837488339766,10.846158067053207
HPN,12915,191.0,12681.0,2554.0,255899.0,0.014789005032907473,0.2014036747890545,20.179717687879506
HRL,3780,45.0,3727.0,426.0,28618.0,0.011904761904761904,0.11430104641803059,7.678561845988731
HSV,7886,76.0,7791.0,1226.0,111818.0,0.009637331980725337,0.1573610576305994,14.352201257861635
HTS,402,4.0,397.0,149.0,14355.0,0.009950248756218905,0.37531486146095716,36.158690176322416
HYA,208,16.0,192.0,50.0,5109.0,0.07692307692307693,0.2604166666666667,26.609375
HYS,727,9.0,717.0,141.0,21540.0,0.012379642365887207,0.19665271966527198,30.0418410041841
IAD,49815,573.0,49135.0,8571.0,696584.0,0.011502559470039146,0.1744377734812252,14.176941080696041
IAG,337,3.0,331.0,95.0,10247.0,0.008902077151335312,0.28700906344410876,30.957703927492446
IAH,111892,1200.0,110392.0,24204.0,1936355.0,0.010724627319200658,0.21925501847959997,17.540718530328284
ICT,8595,82.0,8506.0,1327.0,119505.0,0.00954043048283886,0.15600752410063484,14.049494474488597
IDA,3220,33.0,3171.0,555.0,64497.0,0.010248447204968944,0.1750236518448439,20.339640491958374
ILM,7457,161.0,7277.0,988.0,106143.0,0.021590451924366368,0.13577023498694518,14.58609317026247
IMT,726,15.0,711.0,105.0,14019.0,0.02066115702479339,0.14767932489451477,19.717299578059073
IND,44962,606.0,44258.0,7194.0,564969.0,0.013478048129531604,0.16254688417913146,12.765353156491482
INL,622,6.0,616.0,58.0,5662.0,0.00964630225080386,0.09415584415584416,9.191558441558442
ISP,4698,75.0,4608.0,1000.0,81156.0,0.015964240102171137,0.2170138888888889,17.611979166666668
ITH,735,25.0,709.0,106.0,10616.0,0.034013605442176874,0.14950634696755993,14.973201692524682
ITO,7225,70.0,7152.0,1099.0,61239.0,0.009688581314878892,0.15366331096196867,8.5625
JAC,5212,67.0,5103.0,1215.0,116447.0,0.012854950115118956,0.23809523809523808,22.819321967470117
JAN,7248,51.0,7187.0,818.0,65954.0,0.007036423841059603,0.11381661332962294,9.176847085014609
JAX,28463,405.0,27983.0,5482.0,498414.0,0.014228999051400064,0.19590465639852767,17.81131401207876
JFK,133048,3055.0,129620.0,29259.0,2428533.0,0.02296163790511695,0.2257290541583089,18.73578923005709
JLN,622,7.0,611.0,85.0,11772.0,0.011254019292604502,0.13911620294599017,19.266775777414075
JMS,674,22.0,642.0,74.0,11355.0,0.032640949554896145,0.11526479750778816,17.686915887850468
JNU,4707,96.0,4591.0,594.0,42981.0,0.020395156150414276,0.12938357656284033,9.3620126334132
JST,726,12.0,713.0,109.0,12016.0,0.01652892561983471,0.15287517531556802,16.85273492286115
KOA,17305,140.0,17149.0,2751.0,166142.0,0.008090147356255418,0.16041751705638813,9.688145081345851
KTN,2489,42.0,2438.0,343.0,24553.0,0.01687424668541583,0.14068908941755537,10.07095980311731
LAN,1304,27.0,1276.0,158.0,13792.0,0.020705521472392636,0.1238244514106583,10.808777429467085
LAR,624,25.0,598.0,115.0,16628.0,0.04006410256410257,0.19230769230769232,27.806020066889634
LAS,190877,2260.0,188206.0,48817.0,3279917.0,0.011840085500086443,0.25938067861810993,17.427271181577634
LAW,1003,23.0,980.0,153.0,18136.0,0.022931206380857428,0.15612244897959185,18.506122448979593
LAX,194353,1573.0,192260.0,34708.0,2595693.0,0.008093520552808549,0.1805263705398939,13.500951836055341
LBB,5733,73.0,5651.0,831.0,72887.0,0.012733298447584161,0.1470536188285259,12.898071137851707
LBE,557,15.0,539.0,148.0,12039.0,0.026929982046678635,0.274582560296846,22.335807050092765
LBF,683,42.0,640.0,106.0,11971.0,0.06149341142020498,0.165625,18.7046875
LBL,622,15.0,605.0,73.0,10783.0,0.024115755627009645,0.1206611570247934,17.82314049586777
LCH,1068,27.0,1038.0,142.0,16356.0,0.025280898876404494,0.13680154142581888,15.757225433526012
LCK,980,11.0,966.0,275.0,25106.0,0.011224489795918367,0.28467908902691513,25.989648033126294
LEX,7925,81.0,7826.0,1164.0,116867.0,0.010220820189274449,0.14873498594428827,14.933171479683107
LFT,2926,34.0,2888.0,464.0,45207.0,0.01161995898838004,0.16066481994459833,15.653393351800554
LGA,163726,4487.0,158801.0,28357.0,2282090.25,0.02740554340788879,0.1785694044747829,14.370754907084969
LGB,16502,137.0,16340.0,2738.0,162135.0,0.008302023997091262,0.1675642594859241,9.922582619339046
LIH,16149,157.0,15968.0,2879.0,176063.0,0.009721964208310112,0.18029809619238477,11.025989478957916
LIT,11657,111.0,11520.0,1917.0,162576.0,0.009522175516856824,0.16640625,14.1125
LNK,866,6.0,857.0,144.0,13107.0,0.006928406466512702,0.16802800466744458,15.294049008168027
LRD,1323,16.0,1304.0,181.0,23272.0,0.012093726379440665,0.1388036809815951,17.846625766871167
LSE,431,6.0,425.0,56.0,4997.0,0.013921113689095127,0.13176470588235295,11.75764705882353
LWS,814,7.0,794.0,123.0,11528.0,0.0085995085995086,0.15491183879093198,14.518891687657431
MAF,7897,89.0,7788.0,1005.0,75652.0,0.011270102570596428,0.1290446841294299,9.71391884951207
MBS,1606,19.0,1586.0,254.0,23155.0,0.011830635118306352,0.1601513240857503,14.599621689785625
MCI,48452,522.0,47815.0,8583.0,642709.0,0.010773549079501362,0.17950433964237164,13.44157691101119
MCO,164369,2139.0,161846.0,45097.0,3619116.0,0.013013402770595428,0.2786414245640918,22.361479431064097
MCW,622,20.0,602.0,103.0,12908.0,0.03215434083601286,0.17109634551495018,21.441860465116278
MDT,5568,73.0,5481.0,881.0,86841.0,0.013110632183908046,0.16073709177157453,15.844006568144499
MDW,85096,1203.0,83695.0,19994.0,1210935.0,0.014136974710914732,0.23889121213931538,14.468427026704104
MEI,683,6.0,676.0,100.0,14077.0,0.008784773060029283,0.14792899408284024,20.82396449704142
MEM,23067,341.0,22668.0,3870.0,351658.0,0.014783023366714354,0.17072525145579673,15.513410975824952
MFE,3014,41.0,2966.0,528.0,51587.0,0.013603185136031851,0.17801753202966958,17.39278489548213
MFR,4708,21.0,4671.0,626.0,63280.0,0.0044604927782497875,0.13401841147505889,13.547420252622565
MGM,2330,33.0,2295.0,394.0,38900.0,0.014163090128755365,0.17167755991285402,16.949891067538125
MHK,840,13.0,827.0,92.0,9219.0,0.015476190476190477,0.11124546553808948,11.147521160822249
MHT,6275,139.0,6120.0,1020.0,79736.0,0.022151394422310757,0.16666666666666666,13.02875816993464
MIA,102535,1064.0,101189.0,26794.0,2222721.0,0.010376944457989954,0.2647916275484489,21.966033857435097
MKE,26166,407.0,25702.0,4368.0,357396.0,0.015554536421310097,0.16994786397945685,13.905377013461987
MLB,2697,24.0,2669.0,354.0,32493.0,0.008898776418242492,0.13263394529786438,12.174222555264144
MLI,3239,38.0,3194.0,459.0,47404.0,0.011732016054337758,0.14370695053224797,14.841577958672511
MLU,1813,28.0,1784.0,226.0,21777.0,0.015444015444015444,0.1266816143497758,12.206838565022421
MOB,2557,23.0,2528.0,339.0,28612.0,0.00899491591709034,0.13409810126582278,11.318037974683545
MOT,2027,30.0,1986.0,318.0,30304.0,0.01480019733596448,0.16012084592145015,15.258811681772407
MQT,612,21.0,591.0,89.0,7948.0,0.03431372549019608,0.1505922165820643,13.448392554991539
MRY,3962,38.0,3918.0,636.0,65705.0,0.009591115598182737,0.16232771822358347,16.77003573251659
MSN,10508,138.0,10350.0,1575.0,165077.0,0.013132851161020176,0.15217391304347827,15.949468599033816
MSO,3830,22.0,3799.0,712.0,69010.0,0.005744125326370757,0.18741774151092394,18.165306659647275
MSP,122019,1465.0,120279.0,18314.0,1328677.0,0.01200632688351814,0.15226265599148647,11.046624930370223
MSY,49619,531.0,48969.0,9525.0,728553.0,0.01070154577883472,0.1945108129633033,14.877841083134228
MTJ,2691,45.0,2634.0,550.0,47823.0,0.016722408026755852,0.2088078967350038,18.156036446469248
MVY,1158,62.0,1088.0,316.0,35198.0,0.0535405872193437,0.29044117647058826,32.35110294117647
MYR,14433,232.0,14167.0,2242.0,198061.0,0.01607427423266126,0.15825509988000283,13.980447518881908
OAJ,1158,15.0,1142.0,144.0,18179.0,0.012953367875647668,0.12609457092819615,15.918563922942207
OAK,45955,398.0,45498.0,8571.0,498968.0,0.00866064628440866,0.18838190689700646,10.966811727988043
OGG,30045,340.0,29659.0,5897.0,363089.0,0.011316358795140622,0.19882666307023164,12.242118749789272
OKC,21312,187.0,21061.0,3473.0,276229.0,0.0087743993993994,0.16490195147428896,13.11566402355064
OMA,22578,218.0,22309.0,3499.0,273661.0,0.009655416777393924,0.15684252992065983,12.266842978170246
OME,538,26.0,503.0,74.0,3554.0,0.048327137546468404,0.147117296222664,7.065606361829026
ONT,24324,274.0,24008.0,4008.0,316291.0,0.011264594639039631,0.16694435188270576,13.174400199933356
ORD,258867,3152.0,255071.0,54334.0,4021536.0,0.01217613678066343,0.21301519968949822,15.766339568198658
ORF,21209,467.0,20707.0,3738.0,363340.0,0.022018954217549153,0.180518665185686,17.546723330274787
ORH,1492,50.0,1434.0,391.0,38247.0,0.03351206434316354,0.27266387726638774,26.671548117154813
OTH,356,5.0,349.0,84.0,8699.0,0.014044943820224719,0.24068767908309455,24.925501432664756
OTZ,527,32.0,495.0,40.0,2719.0,0.06072106261859583,0.08080808080808081,5.4929292929292926
OWB,43,0.0,42.0,14.0,924.0,0.0,0.3333333333333333,22.0
PAE,746,5.0,738.0,118.0,8255.0,0.006702412868632708,0.15989159891598917,11.185636856368564
PBG,393,4.0,387.0,124.0,10535.0,0.010178117048346057,0.32041343669250644,27.22222222222222
PBI,27095,406.0,26595.0,6251.0,552843.0,0.014984314449160362,0.23504418123707463,20.787478849407783
PDX,58682,565.0,58004.0,8817.0,647588.0,0.009628165365870285,0.15200675815461004,11.164540376525757
PGD,5951,32.0,5905.0,1353.0,113268.0,0.005377247521424971,0.22912785774767147,19.181710414902625
PGV,114,1.0,113.0,17.0,1338.0,0.008771929824561403,0.1504424778761062,11.84070796460177
PHF,2,0.0,2.0,0.0,4.0,0.0,0.0,2.0
PHL,90071,1167.0,88694.0,17879.0,1479540.0,0.012956445470795261,0.20158071571921438,16.681398967235666
PHX,176691,1144.0,175144.0,31396.0,2209748.0,0.006474579916351144,0.17925821038688164,12.616749646005573
PIA,3278,32.0,3237.0,604.0,53909.0,0.009762050030506406,0.18659252394192152,16.65400061785604
PIB,623,5.0,617.0,79.0,12308.0,0.008025682182985553,0.1280388978930308,19.948136142625607
PIE,7705,29.0,7655.0,1415.0,110047.0,0.003763789746917586,0.18484650555192683,14.37583278902678
PIH,483,0.0,483.0,23.0,3776.0,0.0,0.047619047619047616,7.817805383022774
PIT,42130,565.0,41493.0,6242.0,494292.0,0.013410871113220982,0.1504350131347456,11.912659966741378
PLN,737,12.0,723.0,113.0,16688.0,0.016282225237449117,0.15629322268326418,23.081604426002766
PNS,11445,149.0,11268.0,2033.0,194273.0,0.013018785495849715,0.18042243521476747,17.24112531061413
PPG,124,0.0,124.0,33.0,5169.0,0.0,0.2661290322580645,41.685483870967744
PRC,723,8.0,712.0,161.0,17659.0,0.011065006915629323,0.22612359550561797,24.801966292134832
PSC,5365,20.0,5332.0,754.0,62876.0,0.003727865796831314,0.14141035258814705,11.792198049512377
PSE,1096,30.0,1065.0,337.0,27033.0,0.02737226277372263,0.3164319248826291,25.383098591549295
PSG,724,19.0,701.0,104.0,6499.0,0.026243093922651933,0.14835948644793154,9.271041369472183
PSM,331,1.0,330.0,102.0,9673.0,0.0030211480362537764,0.3090909090909091,29.312121212121212
PSP,13903,119.0,13738.0,2161.0,171451.0,0.008559303747392649,0.15730091716407046,12.480055321007425
PUB,27,2.0,25.0,3.0,159.0,0.07407407407407407,0.12,6.36
PVD,14373,231.0,14100.0,2594.0,224095.0,0.01607180129409309,0.18397163120567375,15.893262411347518
PVU,2028,29.0,1994.0,583.0,51561.0,0.014299802761341223,0.29237713139418253,25.858074222668005
